filmtv_id;titolo_originale;titolo_italiano;anno;genere;durata;voto;humor;ritmo;impegno;tensione;prezzo;anno_convertito;durata_convertita;voto_convertito;genere_convertito;sezione
341;An American in Paris;Un americano a Parigi;1951;Musicale;112;7,5;3;3;1;0;6;1;2;3;15;1
342;Un americano a Roma;Un americano a Roma;1954;Commedia;94;7,2;4;3;1;1;6;1;2;3;4;1
344;Americano rosso;Americano rosso;1991;Commedia;102;5,6;1;2;0;1;6;1;2;3;4;2
345;The Quiet American;Un americano tranquillo;1957;Drammatico;122;7,4;0;3;3;3;7;1;3;3;2;2
346;L'amica;L'amica;1969;Drammatico;100;5,2;1;2;2;1;6;1;2;3;2;1
348;On a Clear Day You Can See Forever;L'amica delle cinque e mezzo;1970;Commedia;115;6,1;2;2;0;1;6;1;2;3;4;1
350;Le amiche;Le amiche;1955;Drammatico;106;6,9;0;1;2;1;6;1;2;3;2;3
351;Best Friends;Amici come prima;1982;Commedia;116;5,5;1;2;0;0;6;1;2;3;4;2
352;Torch Song Trilogy;Amici complici amanti;1988;Drammatico;115;7,3;0;1;3;2;6;1;2;3;2;3
354;Amici per la pelle;Amici per la pelle;1955;Sentimentale;88;6,6;1;2;0;1;5;1;1;3;3;2
355;Amici più di prima;Amici più di prima;1976;Commedia;95;5,6;2;2;0;0;6;1;2;3;4;1
356;Dangerous Company;Un'amicizia pericolosa;1982;Drammatico;120;5;0;2;0;2;7;1;3;3;2;1
357;Der Amerikanische Freund;L'amico americano;1977;Drammatico;128;7,7;0;2;1;3;7;1;3;3;2;4
358;L'ami de mon amie;L'amico della mia amica;1987;Commedia;102;7,1;2;3;2;2;6;1;2;3;4;2
359;Les noces rouges;L'amico di famiglia;1972;Drammatico;90;7,1;0;3;1;2;6;1;2;3;2;2
361;Too Hot to Handle;L'amico pubblico n. 1;1938;Commedia;105;6,7;2;2;1;1;6;1;2;3;4;1
363;Mon amie le traître;L'amico traditore;1988;Drammatico;115;5,3;0;2;3;2;6;1;2;3;2;3
364;The Amityville Horror;Amityville Horror;1979;Horror;116;5,9;0;2;1;3;6;1;2;3;9;4
367;Hamlet;Amleto;1991;Drammatico;135;6,3;0;2;1;2;7;1;3;3;2;2
369;Jack the Giant Killer;L'ammazzagiganti;1962;Avventura;94;6,9;0;0;0;0;6;1;2;3;7;1
370;Ammazzali tutti e torna solo;Ammazzali tutti e torna solo;1968;Western;100;5,5;1;2;0;1;6;1;2;3;12;2
371;The Incredible Mr. Limpet;L'ammiraglio è uno strano pesce;1963;Fantasy;102;6;1;2;0;1;6;1;2;3;16;2
372;Secret Admirer;L'ammiratore segreto;1985;Commedia;98;5,5;1;2;0;0;6;1;2;3;4;2
373;L'ammiratrice;L'ammiratrice;1983;Sentimentale;103;4,4;0;2;0;0;5;1;2;2;3;2
374;L'ammutinamento;L'ammutinamento;1961;Avventura;110;5;0;2;0;0;6;1;2;3;7;2
377;L'amore;L'amore;1948;Drammatico;78;7;1;1;2;2;5;1;1;3;2;1
378;Un amore a Roma;Un amore a Roma;1960;Drammatico;105;7;0;2;3;2;6;1;2;3;2;3
380;Love at First Bite;Amore al primo morso;1979;Commedia;96;6,9;0;0;0;0;6;1;2;3;4;1
382;Un amore americano;Un amore americano;1992;Sentimentale;110;4,3;0;2;0;1;5;1;2;2;3;2
383;L'amore breve;L'amore breve;1969;Drammatico;93;5;0;2;1;1;6;1;2;3;2;2
